userid,itemid,timestamp,rating
A0289048PRWFY7ZXQKCD,B00LORGK7U,2017-01-23,4
A10042M3XO3NET,B00VSHBSVE,2018-08-23,5
A1009Z2C9SSL1Y,B00V3J8JEG,2015-06-13,1
A100WO06OQR8BQ,B00DIJ0W30,2014-09-21,4
A100WO06OQR8BQ,B01A7AVQKA,2016-09-24,5
A105TOJ6LTVMBG,B000NIZYHI,2016-08-05,5
A1062OCTOBS7KH,B00ME7YUIU,2017-07-27,5
A107466OOBXHH7,B00J0GRREW,2018-06-08,5
A1087KNFOF40VD,B00C8SOF0S,2015-07-20,5
A108OGMOVLSP5W,B00CHEZ250,2017-08-17,5
A108SIKD3FKAIF,B00J0GRREW,2016-08-18,5
A108SIKD3FKAIF,B00J0H8EWA,2016-08-18,5
A109L3WXD1SJFU,B00ZHUEZIQ,2015-10-08,4
A109ZEBPQ5EXEG,B005V9UU0A,2018-04-19,5
A10ALCGI4JKFQM,B00FMX7E2M,2016-09-28,5
A10CP7XAHJTEB5,B0000DH8I8,2015-05-02,5
A10DBG7FPPAE6C,B0018ACR6G,2014-07-19,5
A10DPAG6XHKI25,B00E81K1NI,2017-04-30,4
A10GDDRKCIZGE6,B00CBKFJVM,2016-03-05,1
A10H7R87ZA5CHT,B01BYDLC26,2017-08-14,5
A10HGDAN80OEW,B00004WLKA,2017-04-22,5
A10IMLAQB1QAWT,B00MEZEFVO,2016-02-10,5
A10IMLAQB1QAWT,B01FFV2TOS,2016-11-06,1
A10JIO20CJTVIH,B00MV7T25E,2017-08-11,1
A10JJ5PXUCSPDN,B000VTQM70,2015-02-14,5
A10JR2BPSKR13T,B01C3ZZTB4,2017-02-11,5
A10K7GA8YSM0O1,B0155Y22J2,2016-01-18,5
A10LLZMA75D4I4,B01C9KT13U,2016-10-17,5
A10LXEDWGSV9YZ,B00MUT58Y2,2016-01-19,5
A10LZRSZJZ0LG2,B00DMI62HM,2018-02-12,5
A10MJHMMV5WK9T,B00153SQ70,2017-08-17,5
A10MUKBXVI4FZ6,B0019N7X48,2016-01-29,5
A10ONGC6V7W8GL,B003XXE0RA,2016-09-05,5
A10PLUUN5Q999K,B018RDZ3HG,2016-11-01,4
A10SJ1NNSQ1CB,B017KUC6XQ,2016-10-28,4
A10T6G5Z2T8TVI,B00ME7YUIU,2015-12-29,5
A10T6G5Z2T8TVI,B01092XXD4,2015-12-29,5
A10UT1WJKGPCH9,B000H9FZ1I,2013-05-26,4
A10ZZC3W6LJPQK,B00AZUDGE2,2017-08-27,5
A111GVNBJ1ALPU,B00NB3SYGK,2018-01-24,1
A111WCUF5KA2I6,B001HBNFG2,2015-12-14,5
A111ZUUCOAUO4J,B00JX1KXUE,2017-08-29,5
A113RJ7LPTELMU,B00MN5X4RQ,2016-09-29,5
A116EZCJJGHJQ2,B00IJZBB1A,2018-05-17,5
A117FY2DMGZHWX,B00W71JDTY,2017-10-26,5
A117FYENI6RSPP,B000E60U6Y,2014-01-05,1
A117PEASIX5TJ,B019WTZK7M,2017-01-21,4
A11875GIYDPPWV,B00W0YUV1W,2016-06-02,5
A11B05SPUIHCP7,B00Q9Z1JUU,2015-12-19,5
A11B05SPUIHCP7,B00WW141TG,2015-12-19,3
A11BODX326XSSN,B0019QXACO,2013-08-19,5
A11D18YLRFVT8O,B00KJ5TE7G,2015-10-22,5
A11D18YLRFVT8O,B00STB0EW6,2018-05-20,4
A11D39D4Q8B8PK,B00191IUOW,2018-02-16,5
A11E9LHOV5EQU3,B00EPQNPT8,2016-10-14,5
A11EOC7JYMRQ5L,B006UKIB0A,2014-02-28,5
A11GFN9M2W4IJO,B0006O1ICE,2015-07-13,5
A11KC1ETZI6K3Q,B01BKSLI9M,2017-08-28,4
A11LTA871TBYVT,B00CBKFJ9Y,2017-06-21,5
A11MN6521EQ9QD,B0000223SK,2016-07-18,3
A11NWMI5HYO67X,B00C8SOF0S,2015-08-13,5
A11OBHHFNU93K,B006S21S5U,2016-12-26,5
A11PR1YHI4N0LT,B00DYAFITG,2015-08-25,5
A11UETVJSJJSUI,B00GZE3UJ8,2018-07-24,5
A11ULM3HND4KF1,B00QEXSCE8,2016-03-08,4
A11UR36S19ST36,B00YQBAFX6,2016-04-15,5
A11V3GPODBXN7C,B000FN21AO,2014-08-20,4
A11VGXUVG3677Z,B00LVFDLUO,2015-03-08,3
A11W00EXFZ9PPF,B0013TVEYS,2015-05-06,5
A122SFGLAHQLSJ,B00SFUVNKS,2015-08-30,5
A125FJB41ACQWM,B004HKITWU,2015-09-24,5
A127P8A5QQ05KN,B00IER21M6,2017-08-26,5
A128K4SSWJGSKL,B000BQKBCK,2016-12-10,5
A12BCVCEFOYHZD,B01823Y0CK,2016-10-18,5
A12DA26H1NQ9GW,B00208DWLO,2017-08-25,5
A12EVK82QUTSA6,B0013TVEYS,2012-12-12,5
A12FEZSEDQ662N,B0029B0NG4,2016-06-11,5
A12GNKYTCBF15B,B0185FC0OK,2015-08-05,5
A12HPFVIE2BL65,B01CCA3CPA,2017-12-30,5
A12J2W21IN2NOF,B005IQTSE0,2014-02-06,5
A12JE5QXN10IO1,B009PF9124,2014-11-29,5
A12JEBKP11X3WM,B01DU3V0CA,2017-03-06,5
A12MSGE788YU1O,B0008G1Z32,2014-08-22,5
A12MSGE788YU1O,B000WHPVC8,2014-08-22,5
A12O5SEIF162P8,B00JF2LPXK,2016-07-08,5
A12O5SEIF162P8,B015KP2F5M,2015-11-22,5
A12O5SEIF162P8,B0185SOOSW,2017-05-26,5
A12SU4CTZZWVQZ,B00MF03VLS,2017-09-27,1
A12ZW49S013VG1,B0014LOZVO,2016-05-19,5
A12ZXIOG7251VS,B01BPQDG62,2017-12-27,5
A130TXFUMTSTRE,B00CXCFUOY,2017-06-08,5
A131UVEP5CEMAD,B000BODTKI,2013-12-24,5
A13288YJJOJC0Q,B0053PYFGM,2017-01-22,5
A13288YJJOJC0Q,B0064O952K,2015-06-17,5
A13288YJJOJC0Q,B01BKSLI9M,2017-06-13,5
A13288YJJOJC0Q,B01ENU2YJ2,2017-09-25,1
A132JFZ66BDS2W,B000WXL21G,2016-10-05,5
A132VQ7JC6IN3H,B004M1BO3U,2014-12-23,5
A135Y2XFD3SAUG,B01E7G1AU6,2017-09-24,2
A137WYL3312W1W,B00LVFDLUO,2014-12-17,5
A138AUCM5CTEDP,B015I1D1JM,2018-04-18,5
A13D4AOJLCKNSY,B00SMDPF4I,2018-03-17,5
A13G1TKIKHGV3F,B00006ICOR,2018-04-18,5
A13G1TKIKHGV3F,B001ULCB1O,2017-07-06,5
A13HHBL5DRX68P,B01HCVJ3K2,2017-05-13,5
A13LXZGAGKNN7O,B000YZAUE2,2014-09-26,5
A13N70PV5KKYSC,B00E8JTEEM,2016-05-20,4
A13OUHJOIO88JI,B00AZBIZTW,2015-06-23,3
A13P6I4CIXFN89,B000ZTEPWU,2017-05-04,2
A13QJKA90CIN7D,B000HBM80M,2014-10-23,5
A13S2O9IPGDHVK,B001FCB4JS,2016-03-27,5
A13S2O9IPGDHVK,B01GXQMP66,2016-10-27,5
A13SIMPN41RFMV,B002O16SHW,2014-10-30,5
A13TJ1BXDJM7G9,B0059H5Z5O,2018-02-21,5
A13TJ1BXDJM7G9,B00813HBBO,2014-12-23,4
A13UAVT45110ZB,B0000A605H,2016-08-13,5
A13XSM0RPVNOP7,B0000223UV,2015-08-20,5
A13XSM0RPVNOP7,B00BUB5JOA,2014-10-27,5
A13YWTC9CP2V3X,B0070AZJ5O,2014-10-25,5
A141OPVE376YFI,B00MN5X2YG,2017-05-15,3
A142XS126GGNFO,B004Z9XG0I,2015-03-23,5
A144SJLBTC8747,B00ME7424W,2015-06-12,4
A144SJLBTC8747,B00MEZEEJ2,2015-06-12,5
A146WK47R8XJG2,B001HT720O,2016-03-06,5
A149E0FJKR6PRE,B00IJ67MKI,2015-11-11,4
A149Z569632EOU,B004UYTWJW,2016-06-26,2
A14C6GNODDTK8Y,B014VM9ALM,2018-05-31,5
A14H0T4RME65VO,B0051IAWM2,2016-08-29,5
A14HETN27XYT8Y,B0002YTPDC,2016-10-16,5
A14HNMOQR0UWI7,B00MEZDRPO,2015-12-30,5
A14JBDSWKPKTZA,B0146RKJRQ,2015-09-23,5
A14K7UKJYZCN3W,B0013J1UJW,2014-12-24,5
A14MNDUQZOUMXI,B00DPEXKSW,2016-12-20,5
A14MNDUQZOUMXI,B00DVBRHTM,2015-01-27,4
A14MNDUQZOUMXI,B01CP18J4A,2016-12-20,3
A14S92BQ0OPW15,B010TWURRY,2016-02-14,5
A14S92BQ0OPW15,B014VM991I,2016-09-25,5
A14XBADT8X2RZO,B006PKKXM4,2017-07-30,3
A14XR6QY70MFWW,B0013BKDO8,2017-02-22,3
A14XR6QY70MFWW,B00F2IQNX8,2017-03-27,5
A14Y0K6ELUJZPF,B000CD2G98,2016-08-05,5
A14Z4I638VKNXX,B0195V3682,2016-02-22,5
A1508AVKVR035Q,B001DCYRH6,2015-04-02,5
A1508QCTX91AYM,B0061OT1A4,2015-03-12,5
A1509H7UUWN90Y,B01962MW2G,2017-08-06,4
A153HSQ6QAFXDQ,B00AAME8W4,2017-01-19,5
A154FHA83S3IQ9,B00004WLKA,2015-10-19,5
A1566LCK7NPGX8,B00GWFMG1S,2017-04-01,4
A15A22R1ZOUGD2,B00J0H4EVU,2017-03-27,5
A15AE6MJ4CYB0Z,B00YSZ1MFU,2018-02-12,5
A15BPK44FQFJP5,B006VYY578,2015-01-16,4
A15DEDDB5L2SWH,B001VXY3F8,2016-03-19,5
A15DEDDB5L2SWH,B0029NY9X0,2016-04-09,5
A15E19YFZHYP3I,B00MVIYNFW,2017-02-18,5
A15EGME31EE1FR,B003L1W4DQ,2015-09-02,5
A15EGME31EE1FR,B00DBS0N0A,2015-09-02,5
A15GWKBYYAEFY5,B000051WTX,2017-04-28,5
A15JBBJXWLX663,B00JL4F1SM,2016-12-02,5
A15KDJTGX6AT1N,B00HRHAZ9U,2015-03-30,5
A15KDJTGX6AT1N,B015I1D1JC,2016-09-26,5
A15KEHQ71GAKBK,B000S75K7S,2015-11-09,5
A15L9DHJNR702Y,B000P49BX8,2017-01-23,5
A15L9DHJNR702Y,B0075E9T2Y,2016-08-31,5
A15LMWDJP978WM,B001KGSJ74,2016-09-20,4
A15NHSFQIC24O0,B000RGZHFA,2014-08-24,5
A15NHSFQIC24O0,B014HMEOXU,2017-03-12,4
A15O1R31B4P1HN,B0000DD0VA,2015-06-24,3
A15O1R31B4P1HN,B002OS6D9I,2015-06-24,4
A15PS79MBZTN06,B00PLKV6C0,2016-03-07,5
A15S5X97UKY6H5,B000EJUBBU,2015-07-28,5
A15SJZ4T6Q25VE,B00EL0STIA,2016-02-14,5
A15U1Z3N0L3C12,B000LGPD64,2017-01-14,1
A15U1Z3N0L3C12,B00CR8ZRBA,2017-01-13,3
A15XI2BEGGFEOW,B004EXMS4U,2014-03-30,5
A15XKTFD1ZKS58,B00H1V4EB2,2016-06-25,5
A15YN60PGV7CUM,B006UKICQS,2015-10-05,2
A160AUSD9NN4N6,B00PA3UQNI,2015-11-04,5
A160ODXLM4OWSW,B007Y8UX80,2014-07-21,5
A165GZAHQFX6QH,B00I8NM6JO,2015-03-23,5
A165GZAHQFX6QH,B00QT9E2VE,2015-03-11,5
A167IGUWUMICX5,B017EOLG9S,2017-02-02,5
A168BEVPS09D03,B010MSTVZO,2016-09-29,1
A169ZYVW0IYZJC,B00X4N3SLI,2018-04-27,5
A16C942OX82IMD,B000BN33FA,2016-11-26,5
A16CJE46CQ3OP,B00ID7E5VM,2016-01-31,5
A16CJE46CQ3OP,B00QT9E2VE,2016-02-27,4
A16DBZ42DK0K6L,B0050RIQHM,2016-07-14,5
A16DBZ42DK0K6L,B00M78245C,2017-09-18,5
A16EAUHS2HLXW0,B00MMHUYJ6,2016-09-14,5
A16GOVMQSHGUG3,B003STEJAC,2015-10-14,5
A16KTYV908RXS8,B0000DD5H1,2016-02-28,5
A16KTYV908RXS8,B00G9R07WO,2015-07-24,4
A16KTYV908RXS8,B00IJ67MKI,2015-07-24,5
A16MAD8S54BACO,B00E4UOKNK,2014-12-12,5
A16MQYSJCULONQ,B005F5OJG6,2015-06-12,5
A16NOLFY4HJ1F,B018MG4SFQ,2016-10-03,3
A16RSK2SZRMIE7,B01CUPV90M,2018-07-26,5
A16S554ZBDCHEO,B01H61AS2A,2016-09-16,5
A16S69M9VNCO7W,B00YQBBZ8A,2017-09-14,5
A16VVA8G48M5UP,B001KGSJ74,2018-05-09,5
A16VVA8G48M5UP,B00AZBIV9Q,2017-03-22,4
A16Y4XT2V6IT59,B019FGCTJE,2016-08-30,5
A16Z2OECAUX8Z4,B00AWHS7YC,2013-12-18,4
A16ZFZFREOI8J,B00AU6Y6C2,2018-05-19,5
A171BENE9J84SN,B000JJPA66,2015-03-06,4
A174Y1QMN8H2X0,B00IVHB1WU,2017-04-18,5
A1751UDRM42OAM,B000234ITO,2013-06-08,3
A175KEKJPTF8AF,B00ZAUR6M0,2015-12-29,3
A175XXVMLQA98A,B000RB5LP6,2016-03-29,5
A1775QOMY6CMN,B001HWGML6,2014-04-15,5
A177EE11AYO4XW,B0001GAYRC,2016-05-05,5
A177UPQB4Y2603,B00005202U,2015-03-04,1
A177UPQB4Y2603,B006ATU73A,2014-07-19,5
A178AOSXP1LA8G,B00HUHGYKG,2016-11-12,5
A178DY101PJ5K7,B008X0NNEY,2016-08-24,5
A178DY101PJ5K7,B00AOCKWMU,2016-05-26,3
A178DY101PJ5K7,B00QQ5Q3BI,2018-03-28,3
