userid,itemid,timestamp,rating
A0488385844WNV2OWO9X,B000CRQHNU,2015-02-16,5
A0976794S8VOYNT78YEM,B007PORYUI,2013-12-24,5
A0976794S8VOYNT78YEM,B00DTH63P2,2013-12-24,5
A1004703RC79J9,B014R3FO92,2015-10-31,2
A100WO06OQR8BQ,B0015ZC1CY,2016-09-07,5
A102866V814SOJ,B000GDJDPE,2014-03-08,2
A102V8N45CTOIC,B00699JDKY,2016-06-02,5
A1047EDJ84IMAS,B003OYG18O,2013-05-28,5
A10CGTF3GZ2V65,B0013U0EYI,2014-09-01,5
A10NK3J44E66BN,B00HEHRCZS,2013-12-26,2
A10QJ6CMP3UHC6,B003TY8UEC,2016-12-08,3
A10ZBR6O8S8OCY,B0185ZIU62,2017-04-13,4
A11AP4QERYPCLK,B00354QIEU,2015-08-22,5
A11F5KW6QXHL8L,B00172JYM0,2016-09-22,5
A11F5KW6QXHL8L,B00F6XZNLM,2017-02-03,4
A11J81ZI9KAERU,B000ZOFUOC,2015-01-11,5
A11JXAJHP7KESY,B00CUF29WU,2014-01-06,4
A11N2I11HJBD3E,B0058TE4WI,2014-11-08,5
A11OTLEDSW8ZXD,B00205CJWK,2017-04-27,5
A11OTLEDSW8ZXD,B006XCUR5C,2015-10-31,4
A11OTLEDSW8ZXD,B00R1CL2HK,2015-11-07,5
A11UJ1CHEHNEGP,B007PORYUI,2014-11-07,5
A11UJ1CHEHNEGP,B00DTH63P2,2014-11-07,5
A11YA52GQ0D6B6,B00J66M2SM,2016-06-09,5
A12066XBJS20IF,B004N2S2JM,2014-03-11,5
A12E0Y0J6584RT,B01443UL3Y,2016-04-14,5
A12ENBT314RFXR,B00M0V39VE,2018-07-24,4
A12GK5JUYAV0HM,B000IOBETE,2008-09-15,3
A12LXY31MFASAL,B004N2S2JM,2016-02-20,5
A1382NUB0AKHTK,B00FW6ZTW6,2017-09-15,4
A13ARKH8FCOFQ0,B00B59AULY,2016-06-22,5
A13BQX5F2A0CQF,B000YBNL2Y,2017-10-07,5
A13E7YU3XNRNL9,B00B59AULY,2013-11-08,4
A13EHOQ40ARXDI,B0001EKVCW,2015-07-08,3
A13HG7EAUWRYPP,B002D48QUC,2016-10-15,5
A13HG7EAUWRYPP,B00I8NUF2O,2016-10-15,5
A13JH2NRRR2NF6,B000J4FGAG,2017-09-17,5
A13M9XSQ4O6NLY,B00MI1CNRC,2015-05-23,3
A13M9XSQ4O6NLY,B01ELUQJ3Q,2016-09-21,5
A13OUY99ND8NWI,B00C8FVXQA,2016-05-02,5
A13OUY99ND8NWI,B00C8FVY3M,2016-05-02,5
A13RTK1873ZLFS,B00699JDKY,2016-09-25,5
A13V89Q8UQUKTQ,B00699JDKY,2014-07-24,5
A13WEKTB63G78Y,B00IMJF09M,2014-07-07,5
A140ICK18NAAYR,B01AXVQRW0,2016-07-23,3
A141W8WHW9AC3H,B00IBDCYWK,2017-02-07,4
A1437CAM9CNC1E,B000Z61PR6,2014-02-20,3
A1437CAM9CNC1E,B006X4LU9W,2017-06-13,5
A14638TGYH7GD9,B01BY3T1JM,2016-05-27,5
A14EPTYN50XSZV,B00KWH6IE8,2015-01-04,4
A14JDMEHQJRR3T,B002A8JO1Q,2016-05-30,5
A14L2638XC00EZ,B00F6XZVXC,2017-03-04,4
A14L2638XC00EZ,B00IFVVK9Q,2017-02-11,5
A14OV0HV6TRWFF,B000ULR8KE,2013-11-13,5
A1501C38OCSEMA,B0002RI2PG,2017-06-17,5
A152TZLTJNQNBA,B000142FVW,2016-05-11,5
A157UIVPN0NYNN,B003EHOLAQ,2015-10-07,4
A159B1DZK24I3K,B00699JDKY,2013-06-17,5
A15EREQSX2JBZH,B000J4FGAG,2016-04-25,5
A15OAS39003U5R,B00BJ5XCBE,2015-08-17,5
A15T9G38F589KM,B003QXZWYW,2017-12-15,5
A15T9G38F589KM,B014CE16S4,2015-10-28,5
A15TM51XDDGPZ7,B000YBIOB2,2017-03-31,5
A169O5HY388HQN,B010RA65UG,2016-01-14,5
A16EEZCPYPEUHF,B000GDJDPE,2014-11-24,5
A16FKKOV6MYJHO,B003OGV7UO,2016-01-30,5
A16QJ424UMZVWR,B00C78UQ84,2014-12-18,5
A16QJ424UMZVWR,B00FF77IQC,2015-07-10,4
A16R6O1P7TMF9N,B000W6244M,2017-06-06,5
A16UO065RCHCGW,B000CQYM4W,2014-07-08,3
A16UO065RCHCGW,B000IOBETE,2016-02-22,3
A16WPA6JV83YXT,B00M0V39VE,2017-06-25,5
A16ZKKJHDWC44Y,B002A9JONI,2015-01-17,5
A173YMJ9XFVRSY,B000O7NP38,2017-12-13,5
A173YMJ9XFVRSY,B00H2VO6P0,2017-06-28,4
A17GI2HXKPXHSU,B0001Z66UM,2015-06-18,5
A17HVSEZB2PDQK,B00JLQQ9UE,2017-09-30,4
A17ICF11AQU9B3,B0013U0EYI,2016-02-08,5
A17PDN3EW1F05G,B00J66M2SM,2017-09-24,3
A1806K4AD7LM0W,B00KYCLTCM,2017-07-06,5
A181TIQPGSTYH6,B005CVGJFM,2018-01-09,4
A184XTCFOCLX7Y,B0011FO67G,2013-03-18,4
A18CX8MRLUE35E,B00021CDQ6,2014-09-10,5
A18DHHHRTNZAM0,B000MIH34Q,2015-03-26,4
A18ECVX2RJ7HUE,B00GXZS7AG,2014-03-30,4
A18ECVX2RJ7HUE,B00WIJP48Y,2015-12-14,5
A18HE80910BTZI,B00H2VO6P0,2017-06-25,4
A1989WJVG7DHBK,B002CML1XE,2012-08-11,5
A19FRW264WZTGP,B00JR66M8M,2014-11-05,4
A19KLUZ1XD3SRN,B000I1Y75K,2017-02-10,4
A19KLUZ1XD3SRN,B005EZSUS0,2016-03-20,4
A19KLUZ1XD3SRN,B00B95PWFS,2018-04-25,5
A19KLUZ1XD3SRN,B00JR66C9Q,2014-11-02,4
A19L0NX40VAU3S,B00BXS9PFE,2015-03-21,5
A19RDMX22VXXSD,B00R69ZDW8,2015-10-03,4
A19RDMX22VXXSD,B013QWSVF4,2015-10-18,3
A19UTUEBWKIZFT,B00940L86C,2018-05-20,5
A19Z4IDNL1MGG4,B009K71VB6,2014-05-22,3
A1A25TP5D0L22V,B01BOM1Y52,2016-07-13,3
A1A2ATQ44P2A7Y,B01CEJLJOK,2017-02-12,5
A1A2F1ZOWOPNJB,B004ILQVIW,2011-12-07,1
A1A2F1ZOWOPNJB,B00NEPFQPW,2014-12-26,2
A1A4HS18EQAGWF,B00080DK86,2013-10-17,5
A1A8KY344FDXZB,B004N2S2JM,2013-12-25,5
A1ACM1CBGORBN1,B014CE16S4,2015-11-07,3
A1AD4XP47VS56Y,B001LY7GEM,2015-05-06,4
A1AF9EUGODL08I,B00699JDKY,2014-07-20,5
A1AG7F4Z1EOO5L,B00M0V39VE,2018-01-06,2
A1AUVLXU2XWNJ1,B0015Z9096,2017-11-09,3
A1AXBN25KBBWSC,B00E4WWS46,2015-11-12,4
A1B1J242B6OQK9,B00BXS9PFE,2014-10-27,1
A1B5AQUJN16AHX,B000R92XIG,2016-01-29,5
A1B5KI7110XHWI,B0017SWIU4,2016-01-10,5
A1BAR0DUQ1770Z,B004N2S2JM,2016-05-26,5
A1BCRICL4UUBC6,B000J4FGAG,2013-05-24,5
A1BEKAQQGP8CMF,B005I412W8,2014-11-08,4
A1BK60GZ4QME6I,B00172LM8O,2016-09-13,5
A1BK60GZ4QME6I,B01B4OIJ62,2018-04-16,5
A1BKFCSK66RF3C,B000Z657ZW,2016-02-05,5
A1BNYFMPSP3AOG,B004N2S2JM,2014-02-20,3
A1BS8VS04EWSWN,B0002ZW5UQ,2017-09-14,5
A1BSIL9GW9FCR2,B0058TE4WI,2014-07-07,5
A1BT6TL7UCIC5Y,B01FJPVMAC,2017-06-14,5
A1C8J8N4BKDFN3,B001QTLNK0,2015-05-06,3
A1CC3G24842BG6,B00HQIU9GY,2016-03-02,5
A1CC3G24842BG6,B00LO2RO7K,2016-02-23,5
A1CDRFH2UVIDIQ,B0006PLMFQ,2014-09-10,3
A1CO2F7VSQ38W1,B000PHVTVC,2015-11-15,5
A1COW3DSUHUUE4,B003OGV7UO,2016-05-14,5
A1COW3DSUHUUE4,B00IK9Y6FS,2015-10-18,5
A1CWXKAC4W0GIU,B00BXS9PFE,2017-10-09,5
A1D7922BHITJ7X,B000J4FGAG,2014-11-17,5
A1DCBQD9QX2I3J,B004N2S2JM,2012-05-05,5
A1DCY7A46MU8F4,B00BXS9PFE,2016-07-25,5
A1DES1NRVS4X5H,B0010P6D28,2015-04-25,1
A1DFL66IDY0Z2Z,B001F07IZE,2014-11-19,5
A1DIIT81NK45FS,B000V3O8NQ,2015-07-08,5
A1DMSC136B37NO,B0015ZAOGO,2015-08-17,3
A1DNXL8BIR5R8R,B00JR6738K,2015-01-16,4
A1DNXL8BIR5R8R,B010NL93PI,2016-08-10,4
A1DPDDPNK8HKV1,B006TH5DUK,2015-08-16,5
A1DPDDPNK8HKV1,B00BSEWFBE,2016-01-05,5
A1DQHS7MOVYYYA,B01G8UTM3Q,2016-11-11,5
A1DQHS7MOVYYYA,B01GDUM6UC,2016-07-12,4
A1DTCJV6KOMJOA,B001W12MQ6,2014-01-29,4
A1DW6V7M2E335Z,B0015ZAO6E,2015-06-29,4
A1DYNEMS8PB7X4,B001LITXVW,2017-12-11,4
A1DZ0O2ZXOYEGU,B007AO3LJG,2015-04-09,5
A1E50L7PCVXLN4,B0060OUV5Y,2015-12-08,3
A1E50L7PCVXLN4,B009K71VB6,2014-05-29,3
A1E50L7PCVXLN4,B00CFS8YFI,2017-04-16,2
A1E50L7PCVXLN4,B00JR67PU6,2015-01-14,4
A1E5WXNTI7EO2A,B001TBK62Q,2017-05-13,4
A1E5WXNTI7EO2A,B00H5MIOMC,2016-06-27,4
A1E7428658LMTY,B0006PLMFQ,2014-05-06,3
A1EDG5ATUW3AYS,B0015ZAOLY,2018-01-15,5
A1EE6LQS3OPY6R,B001T0HHAG,2011-11-02,5
A1EIAFI297P6YU,B01DQG3DFI,2013-12-10,5
A1EMN4T3ROJDOO,B00T07GQ3E,2016-10-31,5
A1ER4AGDHQUXYV,B00139353Q,2013-11-04,4
A1EVV74UQYVKRY,B01BI8MEZ6,2016-06-05,5
A1EYDV7OQE5BLC,B002DW44Y6,2016-03-28,5
A1EZGIAIEJ8Z68,B00683MOWK,2014-07-08,5
A1EZGIAIEJ8Z68,B00EU6NK66,2014-07-08,5
A1F02K9DX6HVHR,B00FYSZDQ4,2015-11-27,5
A1F0WYFGJMSMLK,B00172M9Q8,2016-10-26,5
A1FDSZISWIXH1A,B00ET86JSG,2015-07-04,4
A1FDSZISWIXH1A,B015WFNLR6,2018-07-19,3
A1FDWNNQ50ATXS,B0002ZW5UQ,2013-07-12,5
A1FOXRAJYN7ZNF,B00B59AULY,2014-07-07,5
A1FT0AWHJQLMJN,B00BXS9PFE,2015-02-06,5
A1FUBPW8U2RYUY,B000N97V5A,2017-01-06,4
A1FVWVS8CRIRBO,B00699JDKY,2016-03-25,5
A1FWB3DEF3MTXG,B000J4FGAG,2014-02-02,5
A1G0ONAQOERNXS,B000O5WCN4,2018-02-27,5
A1G0ONAQOERNXS,B00132H3UE,2018-02-27,5
A1G0ONAQOERNXS,B0017SWIU4,2018-02-27,5
A1G2SRMY3SCI5M,B000IIA5UO,2016-07-22,1
A1G60ANYI0HMEU,B007340K8S,2016-04-08,2
A1G6HZ3CGYEYNN,B001KOTQQ4,2014-06-05,5
A1G6HZ3CGYEYNN,B00II2AGBA,2014-10-23,5
A1G75ZFJMTFRZK,B0013U0EYI,2014-11-23,5
A1G7GN2T2SUEQD,B000PHZ7GK,2017-11-30,5
A1GF1J6Q9ERSMP,B000Q336XY,2015-06-05,5
A1GIHV3V7LW85B,B00B59AULY,2014-06-30,1
A1GJ1IRDPBQ0DG,B000J4FGAG,2013-11-05,5
A1GMGLN1UKXAD1,B004LD5304,2018-05-15,4
A1GMGLN1UKXAD1,B00BD3R1PU,2018-05-15,5
A1GN2XQI7L4QK4,B000VZS3VW,2013-02-14,4
A1GT0G489PONQU,B000O7PH34,2015-12-25,4
A1GUX6R8DV3ZLY,B004YVDM2Y,2015-01-12,5
A1GUX6R8DV3ZLY,B00V6R3R2Y,2015-07-13,4
A1GVJX37TN2KCF,B000EMDK2Y,2015-12-26,5
A1GVJX37TN2KCF,B00103DUZS,2015-12-26,5
